word1,word2,label
fonsi,bougie,1
typeof,belove,1
marginoplasty,taxidea,1
fsi,bee,1
rebhuhn,wonne,1
plasmablast,gundog,0
gnupg,ginnee,1
hepcat,borat,1
cyanite,carpolite,1
pteridospermae,brast,0
columbite,byte,1
llgen,empat,0
blowgun,hydrocodone,1
sitfast,diecast,1
cytoblast,crashed,1
smodcast,forncast,1
pansporoblast,eremite,0
sandblast,outgassed,1
buckbee,floormat,0
unlove,kihyun,0
shmatte,monsarrat,1
whereof,dataglove,1
thwite,juniperite,1
trave,yun,0
hereof,sizeof,1
finespun,nuhn,1
ultrafast,hereinabove,0
ichat,gunsight,0
sizeof,questlove,1
simeone,thron,1
overpassed,colloblast,1
mussite,banalite,1
hnpcc,flowbee,1
dixiecrat,njrat,1
manlove,quqon,0
psychologue,changelog,1
weblog,toadfrog,1
mesoblast,autoplast,1
metrocyte,platte,0
ducat,motat,1
spurdog,socog,1
minorat,gov,0
changelog,glove,0
stun,phren,1
coelostat,sat,1
triune,fengyun,1
grouplove,intercombat,0
son,assat,0
spurdog,onlyoneof,0
panipat,jedi,0
lsd,subhashri,1
anorthite,janeite,1
angiospermae,eyetv,1
chromecast,bruhn,0
alphonsea,shttp,1
malashri,petree,1
offcast,underdone,0
thereof,above,1
chromoblast,catdog,0
freelove,berehove,1
trave,vanhove,1
fogg,freakdog,1
hatte,fittrat,1
flea,zikurat,0
fun,thinolite,0
inmarsat,hydrostat,1
lieberkuhn,sheeprun,1
nun,phren,1
prelog,grapholite,0
matte,diplomat,1
lushun,plzen,1
btree,rosalee,1
defog,milblog,1
kenalog,yougov,0
erven,bklyn,1
hereinabove,of,1
bankrupcy,ncpdp,1
eizenstat,ooblast,0
stun,taconite,0
gov,bhatt,0
haemagogue,trave,0
glove,kidnapee,0
cryophyte,semseyite,1
sitfast,chea,0
symplast,hyalite,0
amove,smuin,0
cyberglove,grouplove,1
pamunkey,boottree,1
nast,godlove,0
nitrostat,freelove,0
smog,slog,1
ashlee,sadat,0
grassed,etioplast,1
footglove,godlove,1
musubi,tse,1
mirti,ji,1
malacolite,frozenbyte,1
homerun,ecdysiast,0
baekhyun,idiosyncrasy,0
mat,westerplatte,1
sunrun,grassed,0
berehove,kurzgesagt,0
grouplove,vanhove,1
sizeof,gov,1
spendlove,onlyoneof,1
cragfast,gun,0
forceone,phlog,0
everlast,hesychast,1
cabree,bridgetree,1
thron,lapdog,0
forstat,zblan,0
hogge,jrgen,0
barkey,manistee,1
deneuve,belove,1
eremite,mcright,1
tittlebat,parablast,0
popat,treefrog,0
thran,socog,0
doseone,ficttelite,0
masterformat,satte,1
eilat,megatonne,0
despotat,megaloblast,0
thrun,chthon,1
onlyoneof,bashed,0
unglove,androstenone,0
sinologue,mitoplast,0
shatt,gat,1
jambee,muesli,1
microblast,foremast,1
pedagogue,phlegmagogue,1
pensee,sublicensee,1
gymnaste,esthete,0
archite,diosmectite,1
auxocyte,moissanite,1
dunn,greenspun,1
quqon,potgun,1
mythtv,trutv,1
phanerite,icosahedrite,1
soli,ardee,1
izanami,blowgun,0
corroboree,xdmcp,1
haemagogue,ethnologue,1
redhat,superflat,1
centroblast,gonimoblast,1
wirecast,bedfast,1
atwite,mitie,0
sizelove,glove,1
photoblog,cosag,1
biernat,cobicistat,1
sopite,recov,0
lstat,webcast,0
bankomat,expat,1
hereof,stive,1
spun,guisewite,0
hemicryptophyte,blindsight,1
nefast,trashed,1
franckeite,bismuthite,1
chickadee,shri,1
minorat,filderstadt,1
past,hereinabove,0
bunn,mitoplast,0
freelove,semarnat,0
copenhague,footglove,0
theocrat,dlive,0
redone,valenti,0
coachdog,oversee,0
vierwaldstattersee,requite,0
onlyoneof,vogesite,0
truelove,aminoplast,0
satte,deneuve,0
splenocyte,tubiporite,1
pettifog,thuggee,0
moorhuhn,begun,1
gyrostat,stochastically,0
spendlove,thereof,1
quahog,condog,1
dove,sizelove,1
fubotv,tinkey,1
bufonite,vanhove,0
stacktv,dunklee,1
irsgov,chernigov,1
rntgen,wonne,1
magyarorszag,labov,0
handfast,gonoblast,1
prolog,rudraprayag,1
assemblea,pea,1
drawee,parasite,0
menulog,videoblog,1
arendsee,inite,0
wwwirsgov,vanhove,1
commissariat,defat,1
dlive,freelove,1
chernabog,hydrocast,0
cheatee,dyscrasy,1
freelove,assemblea,0
questlove,finespun,0
monstermmorpg,scree,1
starlog,noonshun,0
mercast,ptysmagogue,0
cablecast,astroblast,1
pirog,sheepdog,1
shove,antispast,0
demagogue,kea,0
underrun,none,1
godlove,woodchat,0
aerographite,adigrat,0
breastheight,ladylove,0
phosphite,questlove,0
kinetoplast,plasmablast,1
aslan,jun,1
xtian,wolog,0
zebedee,actuality,1
unglove,yougov,1
ringdove,spendlove,1
autograft,verhofstadt,0
semilog,ringdove,0
misrun,offlinetv,0
armikrog,frogge,1
semilog,grammalogue,1
optat,pog,0
flashlight,antepast,0
bayldonite,bourgeoisie,0
phlebolite,pyedog,0
zblan,gruhn,1
democrat,shove,0
indri,zichri,1
acog,pronormoblast,0
fengyun,axinite,0
augusti,abelite,0
amcast,granuloblast,1
alveoloplasty,youn,0
synagoge,scatoscopy,0
thrast,treckschuyt,0
lague,chemofog,1
kgb,polyelectrolyte,0
navsat,abelite,0
rosenblatt,irsgov,0
instat,semiparasite,0
socat,redone,0
plasmablast,spun,0
marrowfat,scrog,0
mudcat,cluebat,1
donne,whereof,0
heirat,rheocrat,1
epilog,megaton,0
porsgrunn,smuin,1
fashiontv,bykea,1
smashcast,zunyite,0
tipcat,diktat,1
tonne,hun,1
reichskonkordat,kattegat,1
ladylove,dove,1
hamsun,jrgen,1
filigree,aristole,1
glycerite,calamite,1
magnesite,salpingoscopy,0
sassed,clinostat,0
shion,gudrun,1
chloroplast,chicoree,0
cuecat,dieudonne,0
romanechite,botryolite,1
argillite,eiszeit,1
svarog,typeof,0
solesbee,chimpui,1
catolyte,myxocyte,1
climat,badayun,0
ratte,unimat,1
onlyoneof,microformat,0
outgun,hog,0
stripchat,jehosaphat,1
glove,dataglove,1
shtrafbat,typeof,0
sizelove,chickaree,0
sitfast,asked,1
unsight,allottee,0
caradog,blogg,1
woodfrog,donne,0
voltaplast,berehove,0
markee,microbee,1
negaton,nun,1
icefrog,zappatite,0
bhatt,labatt,1
longspun,lymphagogue,0
tinkey,henslee,1
sialagogue,drcog,1
brunn,hikmat,0
malayalee,retree,1
homologue,mccree,0
tebibyte,allgemeinheit,1
newscast,andermatt,0
bacteriostat,katt,1
iccat,instat,1
log,above,0
odontolite,reunite,1
inductee,madhushree,1
kompromat,amove,0
tetaug,unicast,0
periplast,ameloblast,1
trothplight,godlove,0
ouvarovite,cuecat,0
endopleurite,leukoplast,0
colourcast,miscast,1
clarostat,cyberglove,0
cheiroplasty,kihyun,0
harlemite,fomite,1
poynton,yi,0
barog,freelove,0
dixiecrat,perovskite,0
cragfast,blepharoplast,1
androstenone,thyone,1
sattelite,nipun,0
tetaug,batte,0
travelog,batibat,0
thrun,rvssian,1
empat,vat,1
byun,ladylove,0
groundhog,travelogue,1
californite,hardspun,0
galactagogue,parlog,1
semimatte,mabalacat,1
spemann,begun,1
explat,kight,0
slog,huhn,0
wolfdog,questlove,0
berehove,holoblast,0
hydrocodone,damast,0
ne,pogge,0
labov,spurdog,0
dermatoscopy,naumannite,0
xtian,cryophyte,0
clast,otoscopy,0
opencast,raste,1
iecee,monolog,0
dipanjan,dismast,0
whereof,typeof,1
shuhite,nikkormat,0
doseone,freelove,0
eap,speedrun,0
typeof,lighttpd,0
key,albee,1
spemann,thron,1
mentat,abematv,0
freelove,flite,0
chromat,lunn,0
orthostat,manlove,0
bandobast,spermatoblast,1
amphicat,galilee,0
tonne,electryone,1
pterin,younglove,0
truelove,chthon,0
reformat,patte,1
portague,sherdog,1
trave,yougov,1
seahog,lordy,0
thereat,paperazzi,0
megatonne,memphremagog,0
semarnat,unfun,0
of,vrchat,0
jog,done,0
rampurhat,kolovrat,1
magnificat,noorie,0
spongioblast,ziggurat,0
unglove,someone,0
zaratite,mystagogue,0
bronchite,chromoplast,0
steatite,dazhbog,0
logography,tippee,1
pneumat,susat,1
labatt,bratt,1
mabalacat,haemostat,1
windirstat,pyrrophyte,0
cyberfight,amphibolite,1
bedright,bybee,0
hohensee,see,1
guerry,gnathite,0
austinite,smuin,0
hat,impatt,1
lapdog,terrebonne,0
wwwirsgov,cainite,0
qumran,cossyrite,0
highlight,aslan,0
ocicat,openpgp,0
locast,labove,0
hamrun,underdone,1
chromecast,hyun,0
screencast,wirecast,1
wwwirsgov,untea,0
of,typeof,1
guardee,yamasee,1
than,xngine,1
gov,ladylove,1
strangelove,sizelove,1
brun,sunrun,1
spemann,nunn,1
rogfast,chernigov,0
malfunkshun,dunne,1
travelog,krog,1
farhat,cerat,1
yishun,chron,1
mycenae,trave,0
orlistat,gun,0
sphen,kamerun,1
moqui,tse,1
croagh,syslog,1
chalybite,bethelite,1
rudraprayag,og,1
videoblog,trichromat,0
autorun,undone,1
portlast,dashed,1
apcbc,unnun,0
peay,kinesi,1
spatialite,hembree,0
matpat,fengyun,0
miscast,attaste,1
copenhague,bearcat,0
overnite,succinite,1
aronie,candee,1
bersih,ginnee,1
cocomat,kitcat,1
lactagogue,recog,1
maximite,insolite,1
njrat,vat,1
locast,wikistrat,0
parsee,dcslog,0
contrite,megabyte,1
grandson,unnun,1
undof,onlyoneof,1
handyfight,leukocytoblast,0
snowcat,monolog,0
thun,cyberglove,0
harmonite,porcelainite,1
gyrogonite,spermatoblast,0
templog,plog,1
maybee,dahyun,0
precog,endoplast,0
teloblast,lcssc,0
leukocytoblast,objlog,0
hochzeit,scolecite,1
irsgov,sizeof,1
berehove,strangelove,1
plog,silog,1
siddi,melologue,0
acfun,luhn,1
russellite,cryoconite,1
medifast,shoutcast,1
underdog,travelog,1
xtian,hereat,0
zermatt,coelostat,1
megatonne,sybarite,0
sifat,sheeprun,0
unglove,strangelove,1
unbegun,overrun,1
ringdove,hereinabove,1
mun,nrcan,1
truelove,thronecast,0
morag,portague,1
haft,thron,0
ladylove,hereof,1
gov,freelove,1
copyright,spinrite,1
colourcast,blogcast,1
sugarfree,pyeloplasty,1
airbat,biernat,1
cranioclast,cableone,0
hereof,hesychast,0
zhirinovsky,boltsprit,1
trashed,lightfast,1
ballarag,tablog,1
transfast,offcast,1
reinheit,auriscopy,0
stive,foxglove,1
shove,shimbun,0
lighttight,queenite,1
beermat,erast,0
withamite,acrite,1
minorat,coelostat,1
glove,tellurite,0
manlove,sizelove,1
kewanee,rogge,0
armikrog,llgen,0
bioplast,run,0
keman,holdfast,0
benitoite,fastenzeit,1
hispantv,parnellite,0
microblast,jubilee,0
gov,guaranty,0
gionee,ki,1
uprun,frog,0
insee,homespun,0
microlog,rogge,1
clast,noonshun,0
dunne,one,1
sportscast,topmast,1
whereof,wwwirsgov,1
nat,sizeof,0
katt,miracast,0
aimee,autostat,0
gruhn,giresun,1
fasciste,pressrun,0
squee,jalee,1
hemostat,gyrostat,1
dutchbat,trichite,0
swingtree,youree,1
monolog,fedayee,0
wolfdog,kewanee,0
cephalostat,hygrostat,1
cholagogue,gaplog,1
theocrat,liroconite,0
bogmat,ghast,0
metagogue,raft,0
ariat,cadpat,1
hopea,mckee,1
lingui,cadee,1
thyone,nipun,1
molybdenite,zuiderzee,0
chat,briony,0
bhatti,phenacite,0
questlove,headlight,0
fastlove,trave,1
miracast,hemagogue,0
snast,wtfast,1
hypophosphite,bytownite,1
gymnoplast,sporoblast,1
vrchat,muskrat,1
udhcpc,manlove,0
shun,prolog,0
granulite,indrajit,1
emmenagogue,socog,1
chariotee,pun,0
neuroblast,jeshurun,0
onlyoneof,cyberglove,1
endophyte,ducat,0
mormonite,satillite,1
masterformat,limonite,0
caradog,copycat,0
wurstsalat,monocrat,1
grogg,multifaced,0
schadt,gov,0
xie,galilee,1
manlove,thereof,1
deneuve,photog,0
girih,tapijt,1
borat,eclat,1
stingaree,nssdc,1
highasakite,noonshun,0
kharijite,jeshurun,0
gunn,progg,0
loadingreadyrun,thyone,1
crevassed,heterograft,1
grouplove,irsgov,1
kofun,sizelove,0
coenocyte,cctv,0
neurogliacyte,wampee,0
rogge,limbat,0
winelight,osteophyte,1
nun,templog,0
unlove,belove,1
bast,gametophyte,0
colourcast,tonne,0
memphremagog,ninkharsag,1
gehrayee,hierography,1
metaphyte,combat,0
trazodone,than,1
standpat,baekhyun,0
dove,sizelove,1
videogamedunkey,mat,0
myofibroblast,foretopmast,1
phlegmagogue,bedlamite,0
tetralite,covellite,1
capri,artinite,0
invap,muggee,1
freelove,gov,1
hellcat,leucopyrite,0
kedgeree,disagree,1
apogee,gymboree,1
anyone,dahyun,1
spatialite,stromeyerite,1
holdfast,fun,0
assessee,dispondee,1
frivole,shahi,1
dieudonne,noonshun,1
akrobat,zandalee,0
deneuve,whereof,1
coloplast,endocast,1
mogg,sialagogue,1
alloplast,gamarjobat,0
deneuve,shove,1
saulie,nanotechnology,1
shove,vilazodone,0
oceanog,addressee,0
thereof,belight,0
avadavat,dove,0
tvsat,hslan,0
jrgen,offeree,0
godlove,cyberglove,1
chthon,doseone,1
aufsichtsrat,mercat,1
yishun,dun,1
haematoblast,fahlunite,0
dichromat,agogue,0
roadhog,musicbee,0
reichsrat,jagt,1
phyllite,colonii,0
eggnog,microblast,0
dispondee,pre,1
shove,glove,1
aronie,spendlove,0
coldcast,dichromat,0
debatte,decat,1
whereof,unglove,1
spendlove,berehove,1
travelogue,sandhog,1
defog,arendsee,0
josaphat,bankomat,1
done,speedrun,1
jun,automat,0
tremadog,damast,0
chromecast,trave,0
molybdenite,shun,0
gehrayee,ustdc,1
silverite,kimberlite,1
epilogue,gyrostat,0
mit,fahlunite,0
cosmocrat,brickbat,1
dunne,psone,1
forkey,siphonophorae,1
kun,badayun,1
rerun,recordtv,0
deneuve,whereof,1
xenograft,blogcast,1
athonite,apostilles,0
xenograft,fruitbat,0
ehlite,asacp,0
parlog,beamdog,1
otoplasty,hnpcc,1
overbright,dermatophyte,1
fltsat,seadog,0
frog,rog,1
finespun,sunrun,1
chirogymnast,aminoplast,1
haemangioblast,holdfast,1
opencast,clast,1
weblog,hamsun,0
overdone,latrun,1
unsurpassed,thun,0
chunn,lycophyte,0
un,nun,1
typewrite,admove,0
torchat,sundancetv,0
sizeof,passed,0
prsten,rebhuhn,1
amd,wavertree,1
breedlove,foxglove,1
pterin,smuin,1
wwwirsgov,byun,0
ghast,irsgov,0
sinulog,bethelite,0
underdone,quahaug,0
laumonite,spite,1
whereof,overdone,0
beermat,rampurhat,1
typee,crevassed,0
apophyllite,uprun,0
undof,son,0
wolfdog,camfrog,1
ptyalagogue,smaug,1
precast,quirite,0
foglight,younglove,0
ocheltree,fehbp,1
agogue,blogg,1
nonouti,diastole,1
erythroblast,molybdenite,0
shimbun,embog,0
brassed,lashed,1
rntgen,log,0
shove,grouplove,1
phlegmagogue,deneuve,0
legat,armikrog,0
questlove,liamine,0
skilligalee,staffed,0
saulie,semarnat,0
akkurat,gunn,0
speedrun,nikky,0
alloplast,holoblast,1
nipun,freebee,0
trave,fastlove,1
vermiculite,argabright,1
deneuve,hereof,1
bigfat,mainmast,0
acceptee,septi,1
rebroadcast,draft,1
batte,transfast,0
gigaton,humidistat,0
instat,hepcat,1
rippee,obsequy,1
admiralbulldog,automat,0
hirulog,gulag,1
kolovrat,amadavat,1
carefree,hyperstat,0
kolovrat,semarnat,1
tight,apatite,1
longdog,magalogue,1
aristokrat,abncp,0
magyarorszag,nopat,0
tegernsee,taksi,1
blast,dreamcast,1
chiliast,ghast,1
underdone,embog,0
ariat,of,0
picrolite,abelite,1
dataglove,dlive,1
outdone,chthon,1
voltaplast,mitoplast,1
skywrite,unbegun,0
bibliog,cyberglove,0
sinulog,spaceshipthree,0
plast,osteoplast,1
plog,slartibartfast,0
shion,nipun,1
shion,leukocytoblast,0
outcast,ghast,1
woodchat,hyun,0
persea,vanhove,0
botonnee,cystoscopy,1
patte,montferrat,1
sffed,hedgehog,0
khubsoorat,deneuve,0
zermatt,tittlebat,1
powerlight,portague,0
schallplatte,bufonite,0
unlove,deneuve,1
signori,khe,1
mckey,caveatee,1
ptysmagogue,balyeat,0
aphanite,sri,0
kiamusze,strangelove,0
uhdtv,peristerite,0
metagogue,frogge,1
above,hamrun,0
nie,abee,1
admove,truelove,1
dague,colee,0
chernigov,above,1
typeof,questlove,1
grouplove,wwwirsgov,1
silverfast,habitat,0
filaree,e,1
tetradite,truelove,0
ethnologue,reostat,0
bradlee,coloscopy,1
colourcast,overcast,1
fog,madrague,1
laryngoscopy,loctite,0
mogg,ortholog,1
vanhove,tinychat,0
mentat,hatte,1
brinjaree,speedrun,0
braintree,frankenstrat,0
ortholog,granuloblast,0
microbat,one,0
unglove,dlive,1
beermat,outrun,0
lokmat,jehosaphat,1
potgun,labatt,0
landsat,luxullianite,0
ze,allee,1
deslatte,wikistrat,1
nikkei,vanhove,0
altacast,hematoblast,1
stive,emenagogue,0
shion,xerophyte,0
epilogue,zaugg,1
abaft,grouplove,0
lambaste,buckfast,1
forecast,newscast,1
apitpat,hembree,0
undof,labov,1
barostat,rampurhat,1
lymphagogue,thrun,0
grammalogue,harassed,0
hnat,seacat,1
epilog,rsyslog,1
horonite,llgen,0
pratte,format,1
thrun,chun,1
bogmat,theocrat,1
berehove,leukoblast,0
massed,homograft,1
armikrog,og,1
lockfast,elastoplast,1
splog,spemann,0
younglove,cafee,0
overpast,orbitoclast,1
lonetree,un,0
assat,chernigov,0
gruhn,mesophyte,0
labree,apparat,0
gashed,amove,0
crinite,hemacite,1
lolcat,chunyun,0
acrasy,questlove,0
chromite,codocyte,1
indri,laserblast,0
camenae,periplast,0
manlove,dialogite,0
stun,ultrafast,0
microcyte,armalite,1
precis,chun,0
dove,embog,0
baekhyun,samfree,0
skyte,spongoblast,0
deslatte,gat,1
alvite,sigcat,0
macun,ffccc,0
therat,paikea,0
outgassed,fasst,1
gundog,dogge,1
blatte,cosmocrat,1
huhn,dun,1
fistfight,dermatite,1
laryngoscopy,socog,0
dermophyte,masterformat,0
pashtun,buckbee,0
alvite,scrog,0
belobog,lingui,0
log,ballarag,1
dicast,superfast,1
ingolstadt,trave,0
chee,nghi,1
hedgehog,magog,1
sizeof,rat,0
settee,bea,1
chemofog,socog,1
ithunn,hangdog,0
lunulite,theralite,1
actuality,je,1
echinocyte,bogmat,0
streit,gamecast,0
uncat,urstadt,1
unnun,volsinii,0
standfast,morae,0
fastlove,trispast,0
chian,dildog,0
mabalacat,rugrat,1
roughcast,raft,1
magalogue,ethnologue,1
thereof,catarrhe,0
flyingdog,euchologue,1
lapdog,bibliog,1
hercynite,rawski,0
undof,yougov,1
tchami,rubriblast,0
magog,netcast,0
gmelinite,wikistrat,0
dogge,castrat,0
skywrite,neuroplasty,0
acdsee,thereof,0
scrcpy,blindsight,0
achee,olea,1
cableone,pogge,0
microparasite,seahog,0
underdone,ranee,0
esprit,acupat,0
lymphagogue,downlight,0
forepassed,screencast,1
importee,shi,1
irsgov,younglove,1
floormat,wonne,0
poplog,breedlove,0
nefast,hiddensee,0
esbat,darmstadt,1
manlove,nuhn,0
melanagogue,recog,1
airlight,dolerite,1
humblebee,mummichog,0
typedprolog,befog,1
plutocrat,midianite,0
outlast,spemann,0
andermatt,berehove,0
footglove,chiliast,0
strangelove,doormat,0
stive,desprit,0
nssdc,zikkurat,0
uplight,cnidoblast,0
sialagogue,bulog,1
typedprolog,lingui,0
mitoplast,forcast,1
hatt,hypsmc,0
bog,outlast,0
kihyun,sizelove,0
gypsoplast,antispast,1
splashed,passed,1
koilocyte,nummulite,1
porthmadog,urstadt,0
uhdtv,ailee,1
flog,phenoplast,0
moondog,repartee,0
ziggurat,cryptocat,1
propodite,mylonite,1
flog,frogg,1
ton,jeshurun,1
samsun,huhn,1
spendlove,clasmatocyte,0
younglove,phytoparasite,0
chunn,grandson,1
videoblog,neurospast,0
xngine,qumran,1
monopolylogue,plog,1
bougie,dubree,1
uprun,dipanjan,1
myofibroblast,odontolite,0
trazodone,dunne,1
optat,inrun,0
finespun,jrgen,1
angiography,overbright,0
declassed,recov,0
viltrumite,herapathite,1
outcast,teman,0
starrcast,absentee,0
shimbun,yun,1
cervantite,rubriblast,0
antilog,freakdog,1
pight,pansporoblast,0
tillinghast,buckfast,1
bradlee,truelove,0
vanadinite,pedagog,0
wirecast,parcast,1
osteoclast,wowowee,0
protoplast,parenthese,0
pogge,sizelove,0
forkey,trophoblast,0
microblog,wedowee,0
aejmc,lee,1
grouplove,breedlove,1
whewellite,eggnog,0
cosag,superflat,0
hemangioblast,raft,1
synagoge,cheeselog,1
domat,slavocrat,1
firedog,wonne,0
forerun,lashed,0
kryptonite,breedlove,0
haemat,autocrat,1
grouplove,shieh,0
waterdog,woitschatzke,0
stian,vesuvianite,0
parablast,sassed,1
of,breedlove,1
telecast,heterograft,1
aristocrat,inmarsat,1
dlive,gov,1
brickbat,cavtat,1
gruhn,pressrun,1
barnabite,labove,0
mcree,gnc,1
trialogue,spacehog,1
depuis,vauquelinite,0
malvoisie,buie,1
nivea,gastroraphy,1
pun,ithunn,1
monolog,mummichog,1
glove,ladylove,1
igfbp,nyet,1
wwwirsgov,onlyoneof,1
fun,wesun,1
cog,recov,0
sri,cycliste,1
macun,shun,1
polyblast,filagree,0
korat,hereof,0
mimecast,gruhn,0
blogg,moonbat,0
belove,levynite,0
fun,pressrun,1
noonshun,outrun,1
monazite,apitpat,0
murphree,frisee,1
powerpc,wwwirsgov,0
thran,dingbat,0
spongioblast,rubellite,0
hereinabove,dinamite,0
cementoblast,luhn,0
hee,actuality,1
wowowee,fushun,0
hadlee,amphoe,1
vanhove,sialagogue,0
epiblast,thromboblast,1
aviat,metagogue,0
peaslee,rheae,1
outcaste,catfight,0
mzansi,facog,0
nefast,andhadhun,0
ithunn,phren,1
ariat,comcast,0
metaphrast,sizeof,0
prague,forceone,0
lockfast,vodcast,1
labov,hereof,1
hertzog,bigdog,1
androstenone,fun,1
